engine,series,lag_unit,lag,acf,n_pairs,bartlett_ci
ChatGPT,raw,collected-day index,1,0.2479709525585156,49,0.2771858582251266
ChatGPT,raw,collected-day index,2,-0.024882903378964035,48,0.2771858582251266
ChatGPT,raw,collected-day index,3,-0.09869313865418743,47,0.2771858582251266
ChatGPT,raw,collected-day index,4,-0.19110933443516287,46,0.2771858582251266
ChatGPT,raw,collected-day index,5,0.0764892883263068,45,0.2771858582251266
ChatGPT,raw,collected-day index,6,0.2976208154773159,44,0.2771858582251266
ChatGPT,raw,collected-day index,7,-0.13490392455372258,43,0.2771858582251266
ChatGPT,raw,collected-day index,8,-0.23508375853134272,42,0.2771858582251266
ChatGPT,raw,collected-day index,9,-0.18002907309920138,41,0.2771858582251266
ChatGPT,raw,collected-day index,10,-0.38247476194297175,40,0.2771858582251266
ChatGPT,raw,calendar day,1,0.23829550185364298,41,
ChatGPT,raw,calendar day,2,-0.04332050234443167,38,
ChatGPT,raw,calendar day,3,-0.08361691476486766,35,
ChatGPT,raw,calendar day,4,-0.276649158060283,33,
ChatGPT,raw,calendar day,5,-0.1328839909047857,31,
ChatGPT,raw,calendar day,6,0.17272934661520642,29,
ChatGPT,raw,calendar day,7,0.048990282408788145,28,
ChatGPT,raw,calendar day,8,-0.19708459313869114,28,
ChatGPT,raw,calendar day,9,-0.11297238466383869,24,
ChatGPT,raw,calendar day,10,-0.3542832780752264,23,
ChatGPT,segment-demeaned,collected-day index,1,0.24797095255851573,49,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,2,-0.024882903378963966,48,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,3,-0.09869313865418734,47,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,4,-0.19110933443516273,46,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,5,0.07648928832630697,45,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,6,0.29762081547731595,44,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,7,-0.13490392455372247,43,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,8,-0.23508375853134267,42,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,9,-0.18002907309920133,41,0.2771858582251266
ChatGPT,segment-demeaned,collected-day index,10,-0.38247476194297164,40,0.2771858582251266
ChatGPT,segment-demeaned,calendar day,1,0.23829550185364298,41,
ChatGPT,segment-demeaned,calendar day,2,-0.04332050234443167,38,
ChatGPT,segment-demeaned,calendar day,3,-0.08361691476486767,35,
ChatGPT,segment-demeaned,calendar day,4,-0.276649158060283,33,
ChatGPT,segment-demeaned,calendar day,5,-0.1328839909047857,31,
ChatGPT,segment-demeaned,calendar day,6,0.1727293466152064,29,
ChatGPT,segment-demeaned,calendar day,7,0.04899028240878816,28,
ChatGPT,segment-demeaned,calendar day,8,-0.19708459313869114,28,
ChatGPT,segment-demeaned,calendar day,9,-0.11297238466383869,24,
ChatGPT,segment-demeaned,calendar day,10,-0.3542832780752264,23,
Claude,raw,collected-day index,1,-0.1071579444291096,49,0.2771858582251266
Claude,raw,collected-day index,2,0.05113520680153166,48,0.2771858582251266
Claude,raw,collected-day index,3,-0.15218587093776667,47,0.2771858582251266
Claude,raw,collected-day index,4,0.048105170952704356,46,0.2771858582251266
Claude,raw,collected-day index,5,-0.027423360960748478,45,0.2771858582251266
Claude,raw,collected-day index,6,0.021541781190239414,44,0.2771858582251266
Claude,raw,collected-day index,7,-0.08875720557810636,43,0.2771858582251266
Claude,raw,collected-day index,8,-0.0413791642163399,42,0.2771858582251266
Claude,raw,collected-day index,9,-0.08639297912776059,41,0.2771858582251266
Claude,raw,collected-day index,10,-0.03407777595643944,40,0.2771858582251266
Claude,raw,calendar day,1,-0.19311864329131792,41,
Claude,raw,calendar day,2,0.07815705864324429,38,
Claude,raw,calendar day,3,-0.2611891593006852,35,
Claude,raw,calendar day,4,0.06925614276855854,33,
Claude,raw,calendar day,5,-0.01950458914711994,31,
Claude,raw,calendar day,6,-0.05415972958412116,29,
Claude,raw,calendar day,7,-0.052133016912223815,28,
Claude,raw,calendar day,8,-0.38815233072436706,28,
Claude,raw,calendar day,9,0.5182686720585998,24,
Claude,raw,calendar day,10,-0.23346778586515174,23,
Claude,segment-demeaned,collected-day index,1,-0.1071579444291096,49,0.2771858582251266
Claude,segment-demeaned,collected-day index,2,0.051135206801531656,48,0.2771858582251266
Claude,segment-demeaned,collected-day index,3,-0.1521858709377667,47,0.2771858582251266
Claude,segment-demeaned,collected-day index,4,0.048105170952704335,46,0.2771858582251266
Claude,segment-demeaned,collected-day index,5,-0.027423360960748502,45,0.2771858582251266
Claude,segment-demeaned,collected-day index,6,0.021541781190239407,44,0.2771858582251266
Claude,segment-demeaned,collected-day index,7,-0.08875720557810639,43,0.2771858582251266
Claude,segment-demeaned,collected-day index,8,-0.04137916421633992,42,0.2771858582251266
Claude,segment-demeaned,collected-day index,9,-0.08639297912776063,41,0.2771858582251266
Claude,segment-demeaned,collected-day index,10,-0.03407777595643948,40,0.2771858582251266
Claude,segment-demeaned,calendar day,1,-0.1931186432913179,41,
Claude,segment-demeaned,calendar day,2,0.07815705864324428,38,
Claude,segment-demeaned,calendar day,3,-0.26118915930068526,35,
Claude,segment-demeaned,calendar day,4,0.06925614276855852,33,
Claude,segment-demeaned,calendar day,5,-0.019504589147119944,31,
Claude,segment-demeaned,calendar day,6,-0.05415972958412117,29,
Claude,segment-demeaned,calendar day,7,-0.052133016912223856,28,
Claude,segment-demeaned,calendar day,8,-0.38815233072436706,28,
Claude,segment-demeaned,calendar day,9,0.5182686720585998,24,
Claude,segment-demeaned,calendar day,10,-0.23346778586515177,23,
Gemini,raw,collected-day index,1,0.672567400582426,50,0.2744548964694899
Gemini,raw,collected-day index,2,0.6900612375613913,49,0.2744548964694899
Gemini,raw,collected-day index,3,0.6128239364313895,48,0.2744548964694899
Gemini,raw,collected-day index,4,0.5397126149924071,47,0.2744548964694899
Gemini,raw,collected-day index,5,0.489504286496767,46,0.2744548964694899
Gemini,raw,collected-day index,6,0.3909495147919985,45,0.2744548964694899
Gemini,raw,collected-day index,7,0.3569631473564075,44,0.2744548964694899
Gemini,raw,collected-day index,8,0.21539151786572222,43,0.2744548964694899
Gemini,raw,collected-day index,9,0.1367091597760689,42,0.2744548964694899
Gemini,raw,collected-day index,10,0.047276491311360865,41,0.2744548964694899
Gemini,raw,calendar day,1,0.7218934344825488,41,
Gemini,raw,calendar day,2,0.7841002454156865,37,
Gemini,raw,calendar day,3,0.7006201276949007,33,
Gemini,raw,calendar day,4,0.6244836524070942,31,
Gemini,raw,calendar day,5,0.5484874695717322,30,
Gemini,raw,calendar day,6,0.26426066556476624,29,
Gemini,raw,calendar day,7,0.49842817670081163,29,
Gemini,raw,calendar day,8,0.44684227376889457,27,
Gemini,raw,calendar day,9,0.018335473036370706,23,
Gemini,raw,calendar day,10,-0.024249807659180164,22,
Gemini,segment-demeaned,collected-day index,1,0.12010266166552724,50,0.2744548964694899
Gemini,segment-demeaned,collected-day index,2,0.27034682118790265,49,0.2744548964694899
Gemini,segment-demeaned,collected-day index,3,0.04985475117107353,48,0.2744548964694899
Gemini,segment-demeaned,collected-day index,4,-0.03648183570159972,47,0.2744548964694899
Gemini,segment-demeaned,collected-day index,5,-0.02662613270375762,46,0.2744548964694899
Gemini,segment-demeaned,collected-day index,6,-0.12704771149590804,45,0.2744548964694899
Gemini,segment-demeaned,collected-day index,7,0.07805955840329412,44,0.2744548964694899
