engine,day,n,cited,model_version,rounds,verticals,rate_pct,wilson_lo_pct,wilson_hi_pct,partial_any,partial_reason,weekday,is_weekend,iso_week,day_index,gap_before_days
ChatGPT,2026-04-23,192,34,gpt-4o-mini-2024-07-18,1,4,17.708333333333332,12.957935565746764,23.72554261773111,1,15 of 20 cells; collection interrupted (METHODOLOGY_V2.md:121),Thursday,0,2026-W17,0,0
ChatGPT,2026-04-24,192,33,gpt-4o-mini-2024-07-18,1,4,17.1875,12.50822162512063,23.15402233551011,1,~15 Claude fintech rows as api_failure; Anthropic balance mid-run,Friday,0,2026-W17,1,1
ChatGPT,2026-04-25,384,67,gpt-4o-mini-2024-07-18,2,4,17.447916666666668,13.979514361644865,21.561157138464313,0,,Saturday,1,2026-W17,2,1
ChatGPT,2026-04-26,384,64,gpt-4o-mini-2024-07-18,2,4,16.666666666666668,13.27317622861245,20.72047138749935,0,,Sunday,1,2026-W17,3,1
ChatGPT,2026-04-27,384,66,gpt-4o-mini-2024-07-18,2,4,17.1875,13.743758805279876,21.28123806683017,0,,Monday,0,2026-W18,4,1
ChatGPT,2026-04-28,384,67,gpt-4o-mini-2024-07-18,2,4,17.447916666666668,13.979514361644865,21.561157138464313,0,,Tuesday,0,2026-W18,5,1
ChatGPT,2026-04-29,192,33,gpt-4o-mini-2024-07-18,1,4,17.1875,12.50822162512063,23.15402233551011,0,,Wednesday,0,2026-W18,6,1
ChatGPT,2026-04-30,384,66,gpt-4o-mini-2024-07-18,2,4,17.1875,13.743758805279876,21.28123806683017,0,,Thursday,0,2026-W18,7,1
ChatGPT,2026-05-04,192,32,gpt-4o-mini-2024-07-18,1,4,16.666666666666668,12.060204229124494,22.580805508659115,1,15 of 20 cells; partial recovery (METHODOLOGY_V2.md:125),Monday,0,2026-W19,11,4
ChatGPT,2026-05-05,192,32,gpt-4o-mini-2024-07-18,1,4,16.666666666666668,12.060204229124494,22.580805508659115,0,,Tuesday,0,2026-W19,12,1
ChatGPT,2026-05-11,192,33,gpt-4o-mini-2024-07-18,1,4,17.1875,12.50822162512063,23.15402233551011,0,,Monday,0,2026-W20,18,6
ChatGPT,2026-05-12,192,33,gpt-4o-mini-2024-07-18,1,4,17.1875,12.50822162512063,23.15402233551011,0,,Tuesday,0,2026-W20,19,1
ChatGPT,2026-05-13,384,65,gpt-4o-mini-2024-07-18,2,4,16.927083333333332,13.508310911036922,21.001011333074008,0,,Wednesday,0,2026-W20,20,1
ChatGPT,2026-05-14,192,33,gpt-4o-mini-2024-07-18,1,4,17.1875,12.50822162512063,23.15402233551011,0,,Thursday,0,2026-W20,21,1
