engine,day,round,n,cited,rate_pct
ChatGPT,2026-04-23,evening,192,34,17.708333333333332
ChatGPT,2026-04-24,evening,192,33,17.1875
ChatGPT,2026-04-25,evening,192,32,16.666666666666668
ChatGPT,2026-04-25,morning,192,35,18.229166666666668
ChatGPT,2026-04-26,evening,192,32,16.666666666666668
ChatGPT,2026-04-26,morning,192,32,16.666666666666668
ChatGPT,2026-04-27,evening,192,35,18.229166666666668
ChatGPT,2026-04-27,morning,192,31,16.145833333333332
ChatGPT,2026-04-28,evening,192,32,16.666666666666668
ChatGPT,2026-04-28,morning,192,35,18.229166666666668
ChatGPT,2026-04-29,evening,192,33,17.1875
ChatGPT,2026-04-30,evening,192,32,16.666666666666668
ChatGPT,2026-04-30,morning,192,34,17.708333333333332
ChatGPT,2026-05-04,evening,192,32,16.666666666666668
ChatGPT,2026-05-05,morning,192,32,16.666666666666668
ChatGPT,2026-05-11,evening,192,33,17.1875
ChatGPT,2026-05-12,evening,192,33,17.1875
ChatGPT,2026-05-13,evening,192,31,16.145833333333332
ChatGPT,2026-05-13,morning,192,34,17.708333333333332
ChatGPT,2026-05-14,evening,192,33,17.1875
ChatGPT,2026-05-15,evening,192,31,16.145833333333332
ChatGPT,2026-05-16,evening,192,34,17.708333333333332
ChatGPT,2026-05-16,morning,192,29,15.104166666666666
ChatGPT,2026-05-17,evening,192,35,18.229166666666668
ChatGPT,2026-05-17,morning,192,33,17.1875
ChatGPT,2026-05-18,evening,192,33,17.1875
ChatGPT,2026-05-19,evening,192,36,18.75
ChatGPT,2026-05-20,evening,192,36,18.75
ChatGPT,2026-05-21,evening,192,32,16.666666666666668
ChatGPT,2026-05-21,morning,192,35,18.229166666666668
ChatGPT,2026-05-22,evening,192,29,15.104166666666666
ChatGPT,2026-05-22,morning,192,34,17.708333333333332
ChatGPT,2026-05-23,evening,192,35,18.229166666666668
ChatGPT,2026-05-24,evening,192,35,18.229166666666668
ChatGPT,2026-05-24,morning,192,30,15.625
ChatGPT,2026-05-25,evening,192,35,18.229166666666668
ChatGPT,2026-05-25,morning,192,35,18.229166666666668
ChatGPT,2026-05-26,evening,192,34,17.708333333333332
ChatGPT,2026-05-27,evening,192,30,15.625
ChatGPT,2026-05-28,morning,192,32,16.666666666666668
ChatGPT,2026-05-30,evening,192,30,15.625
ChatGPT,2026-05-30,morning,192,35,18.229166666666668
ChatGPT,2026-05-31,evening,192,33,17.1875
ChatGPT,2026-06-01,evening,192,34,17.708333333333332
ChatGPT,2026-06-01,morning,192,34,17.708333333333332
ChatGPT,2026-06-02,evening,192,34,17.708333333333332
ChatGPT,2026-06-02,morning,192,32,16.666666666666668
ChatGPT,2026-06-03,evening,192,30,15.625
ChatGPT,2026-06-03,morning,192,31,16.145833333333332
ChatGPT,2026-06-04,morning,192,32,16.666666666666668
ChatGPT,2026-06-05,evening,384,64,16.666666666666668
ChatGPT,2026-06-06,evening,192,31,16.145833333333332
ChatGPT,2026-06-06,morning,192,34,17.708333333333332
ChatGPT,2026-06-07,evening,192,34,17.708333333333332
ChatGPT,2026-06-07,morning,192,34,17.708333333333332
ChatGPT,2026-06-08,evening,192,34,17.708333333333332
ChatGPT,2026-06-08,morning,192,34,17.708333333333332
ChatGPT,2026-06-09,morning,192,35,18.229166666666668
ChatGPT,2026-08-08,evening,192,34,17.708333333333332
ChatGPT,2026-08-10,evening,192,34,17.708333333333332
ChatGPT,2026-08-11,evening,192,34,17.708333333333332
ChatGPT,2026-08-11,morning,192,31,16.145833333333332
ChatGPT,2026-08-12,evening,192,32,16.666666666666668
ChatGPT,2026-08-12,morning,192,36,18.75
ChatGPT,2026-08-13,morning,192,34,17.708333333333332
ChatGPT,2026-08-14,evening,192,34,17.708333333333332
ChatGPT,2026-08-14,morning,192,35,18.229166666666668
ChatGPT,2026-08-15,evening,192,32,16.666666666666668
ChatGPT,2026-08-15,morning,192,33,17.1875
ChatGPT,2026-08-16,evening,192,29,15.104166666666666
ChatGPT,2026-08-16,morning,576,96,16.666666666666668
ChatGPT,2026-08-23,morning,576,96,16.666666666666668
ChatGPT,2026-08-31,morning,192,35,18.229166666666668
ChatGPT,2026-09-08,morning,192,33,17.1875
Claude,2026-04-23,evening,123,43,34.959349593495936
Claude,2026-04-24,evening,192,48,25.0
Claude,2026-04-25,evening,192,50,26.041666666666668
Claude,2026-04-25,morning,192,50,26.041666666666668
Claude,2026-04-26,evening,192,47,24.479166666666668
Claude,2026-04-26,morning,192,49,25.520833333333332
Claude,2026-04-27,evening,192,48,25.0
Claude,2026-04-27,morning,192,51,26.5625
Claude,2026-04-28,evening,192,47,24.479166666666668
Claude,2026-04-28,morning,192,49,25.520833333333332
Claude,2026-04-29,evening,192,51,26.5625
Claude,2026-04-30,evening,192,49,25.520833333333332
Claude,2026-04-30,morning,192,46,23.958333333333332
Claude,2026-05-04,evening,192,49,25.520833333333332
Claude,2026-05-05,morning,192,47,24.479166666666668
Claude,2026-05-11,evening,192,48,25.0
Claude,2026-05-12,evening,192,50,26.041666666666668
Claude,2026-05-13,evening,192,50,26.041666666666668
Claude,2026-05-13,morning,192,51,26.5625
Claude,2026-05-14,evening,192,47,24.479166666666668
Claude,2026-05-15,evening,192,50,26.041666666666668
Claude,2026-05-16,evening,192,47,24.479166666666668
Claude,2026-05-16,morning,192,46,23.958333333333332
Claude,2026-05-17,evening,192,51,26.5625
Claude,2026-05-17,morning,127,45,35.43307086614173
Claude,2026-05-18,evening,192,52,27.083333333333332
Claude,2026-05-19,evening,192,49,25.520833333333332
Claude,2026-05-20,evening,192,47,24.479166666666668
Claude,2026-05-21,evening,192,50,26.041666666666668
Claude,2026-05-21,morning,192,48,25.0
Claude,2026-05-22,evening,192,52,27.083333333333332
Claude,2026-05-22,morning,192,51,26.5625
Claude,2026-05-23,evening,192,46,23.958333333333332
Claude,2026-05-24,evening,192,49,25.520833333333332
Claude,2026-05-24,morning,192,53,27.604166666666668
Claude,2026-05-25,evening,192,47,24.479166666666668
Claude,2026-05-25,morning,192,49,25.520833333333332
Claude,2026-05-26,evening,192,50,26.041666666666668
Claude,2026-05-27,evening,192,49,25.520833333333332
Claude,2026-05-28,morning,192,50,26.041666666666668
Claude,2026-05-30,evening,192,51,26.5625
Claude,2026-05-30,morning,192,49,25.520833333333332
Claude,2026-05-31,evening,192,52,27.083333333333332
Claude,2026-06-01,evening,192,46,23.958333333333332
Claude,2026-06-01,morning,192,51,26.5625
Claude,2026-06-02,evening,192,51,26.5625
Claude,2026-06-02,morning,192,49,25.520833333333332
Claude,2026-06-03,evening,192,47,24.479166666666668
Claude,2026-06-03,morning,192,50,26.041666666666668
Claude,2026-06-04,morning,192,49,25.520833333333332
Claude,2026-06-05,evening,384,97,25.260416666666668
Claude,2026-06-06,evening,192,49,25.520833333333332
Claude,2026-06-06,morning,192,50,26.041666666666668
Claude,2026-06-07,evening,192,52,27.083333333333332
Claude,2026-06-07,morning,192,50,26.041666666666668
Claude,2026-06-08,evening,192,48,25.0
Claude,2026-06-08,morning,192,52,27.083333333333332
Claude,2026-06-09,morning,192,50,26.041666666666668
Claude,2026-08-08,evening,192,48,25.0
Claude,2026-08-10,evening,192,50,26.041666666666668
Claude,2026-08-11,evening,192,50,26.041666666666668
Claude,2026-08-11,morning,192,47,24.479166666666668
Claude,2026-08-12,evening,192,50,26.041666666666668
Claude,2026-08-12,morning,192,45,23.4375
Claude,2026-08-13,morning,192,49,25.520833333333332
Claude,2026-08-14,evening,192,51,26.5625
Claude,2026-08-14,morning,192,46,23.958333333333332
Claude,2026-08-15,evening,192,48,25.0
