day,n,cited,arms,cells,rounds,partial_empirical,partial_declared,partial_reason,partial_any,rate_pct
2026-04-23,795,150,5,19,1,1,1,15 of 20 cells; collection interrupted (METHODOLOGY_V2.md:121),1,18.867924528301888
2026-04-24,864,155,5,20,1,0,1,~15 Claude fintech rows as api_failure; Anthropic balance mid-run,1,17.939814814814813
2026-04-25,1728,312,5,20,2,0,0,,0,18.055555555555557
2026-04-26,1728,301,5,20,2,0,0,,0,17.41898148148148
2026-04-27,1728,296,5,20,2,0,0,,0,17.12962962962963
2026-04-28,1728,307,5,20,2,0,0,,0,17.766203703703702
2026-04-29,864,156,5,20,1,0,0,,0,18.055555555555557
2026-04-30,1728,299,5,20,2,0,0,,0,17.30324074074074
2026-05-04,864,154,5,20,1,0,1,15 of 20 cells; partial recovery (METHODOLOGY_V2.md:125),1,17.824074074074073
2026-05-05,864,145,5,20,1,0,0,,0,16.78240740740741
2026-05-11,864,161,5,20,1,0,0,,0,18.63425925925926
2026-05-12,864,160,5,20,1,0,0,,0,18.51851851851852
2026-05-13,1728,328,5,20,2,0,0,,0,18.98148148148148
2026-05-14,864,160,5,20,1,0,0,,0,18.51851851851852
2026-05-15,864,159,5,20,1,0,0,,0,18.40277777777778
2026-05-16,1728,310,5,20,2,0,0,,0,17.939814814814813
2026-05-17,1663,319,5,20,2,0,0,,0,19.182200841852076
2026-05-18,864,153,5,20,1,0,1,5 of 20 cells; Perplexity max_tokens<16 rejected on sonar,1,17.708333333333332
2026-05-19,864,152,5,20,1,0,0,,0,17.59259259259259
2026-05-20,864,153,5,20,1,0,0,,0,17.708333333333332
2026-05-21,1728,306,5,20,2,0,0,,0,17.708333333333332
2026-05-22,1728,297,5,20,2,0,0,,0,17.1875
2026-05-23,864,153,5,20,1,0,0,,0,17.708333333333332
2026-05-24,1728,309,5,20,2,0,0,,0,17.881944444444443
2026-05-25,1728,283,5,20,2,0,0,,0,16.377314814814813
2026-05-26,864,140,5,20,1,0,0,,0,16.203703703703702
2026-05-27,863,139,5,20,1,0,0,,0,16.10660486674392
2026-05-28,864,146,5,20,1,0,0,,0,16.89814814814815
2026-05-30,1728,294,5,20,2,0,0,,0,17.01388888888889
2026-05-31,864,152,5,20,1,0,0,,0,17.59259259259259
2026-06-01,1728,285,5,20,2,0,0,,0,16.493055555555557
2026-06-02,1728,288,5,20,2,0,0,,0,16.666666666666668
2026-06-03,1728,290,5,20,2,0,0,,0,16.78240740740741
2026-06-04,860,148,5,20,1,0,0,,0,17.209302325581394
2026-06-05,1344,281,4,16,1,1,0,,1,20.907738095238095
2026-06-06,1728,292,5,20,2,0,0,,0,16.89814814814815
2026-06-07,1728,303,5,20,2,0,0,,0,17.53472222222222
2026-06-08,1728,296,5,20,2,0,0,,0,17.12962962962963
2026-06-09,864,151,5,20,1,0,0,,0,17.47685185185185
2026-08-08,864,152,5,20,1,0,0,,0,17.59259259259259
2026-08-10,864,158,5,20,1,0,0,,0,18.287037037037038
2026-08-11,1728,306,5,20,2,0,0,,0,17.708333333333332
2026-08-12,1728,312,5,20,2,0,0,,0,18.055555555555557
2026-08-13,812,138,5,18,1,1,0,,1,16.995073891625616
2026-08-14,1728,311,5,20,2,0,0,,0,17.997685185185187
2026-08-15,1728,313,5,20,2,0,0,,0,18.113425925925927
2026-08-16,3456,616,5,20,2,0,0,,0,17.824074074074073
2026-08-23,2174,466,5,20,1,0,0,,0,21.435142594296227
2026-08-31,864,190,5,20,1,0,0,,0,21.99074074074074
2026-09-06,960,217,3,12,1,1,1,"partial_days.json: missing ChatGPT,Claude",1,22.604166666666668
2026-09-07,401,78,3,9,1,1,1,"partial_days.json: missing ChatGPT,Claude",1,19.45137157107232
2026-09-08,864,189,5,20,1,0,0,,0,21.875
