level,week_a,week_b,days_a,days_b,consecutive_calendar,n_common,tau_b,p,n_active,tau_b_active,p_active,top_overlap_k,top_overlap,median_abs_rank_shift,n_moved_3plus_ranks,n_moved_5plus_ranks,status
entity coverage,2026-W17,2026-W18,4,4,1,111,0.9274156999568587,4.819808585265315e-33,50,0.8523059305945817,7.585451601381063e-18,10,0.9,2.0,18,10,run
entity coverage,2026-W18,2026-W19,4,2,1,111,0.9178758584599228,3.3598095499117143e-31,48,0.8723788697064789,4.5969342764751666e-17,10,0.8,3.0,26,9,run
entity coverage,2026-W19,2026-W20,2,7,1,111,0.8664839852408249,1.9585246768348842e-28,52,0.8256894870024841,9.38242168881185e-17,10,1.0,3.0,29,17,run
entity coverage,2026-W20,2026-W21,7,7,1,111,0.8679419690868498,5.659302213126044e-30,57,0.8229361654964853,7.534743000867698e-19,10,0.9,3.0,34,20,run
entity coverage,2026-W21,2026-W22,7,6,1,111,0.8863142944759527,3.69773185929917e-31,56,0.8368766507184191,3.941257704099938e-19,10,0.9,3.0,33,15,run
entity coverage,2026-W22,2026-W23,6,7,1,111,0.9371263132055399,9.470773592837808e-35,53,0.863018787538885,1.814858242461167e-19,10,0.9,2.0,17,11,run
entity coverage,2026-W23,2026-W24,7,2,1,111,0.8656908457720436,2.8011966589526866e-28,52,0.8682211562830457,2.6503675480792882e-18,10,0.8,3.0,31,14,run
entity coverage,2026-W24,2026-W32,2,1,0,111,0.8183950440610855,1.2406482503750784e-23,45,0.6059763935825662,6.935368511921496e-08,10,0.7,6.0,32,28,run
entity coverage,2026-W32,2026-W33,1,7,1,111,0.8461285244321262,3.8443231584469086e-27,56,0.8092675679557516,2.1753524064347096e-16,10,1.0,5.0,36,29,run
entity coverage,2026-W33,2026-W34,7,1,1,111,0.8663917431509864,8.524769608129026e-30,57,0.8133950140651298,3.275998896862276e-18,10,0.9,3.0,34,19,run
entity coverage,2026-W34,2026-W36,1,2,0,111,0.8766836292982526,4.054405510196532e-29,52,0.7310072787754367,5.494627940733684e-13,10,0.9,5.0,35,27,run
entity coverage,2026-W36,2026-W37,2,2,1,111,0.7768553374705157,1.459817094315697e-22,55,0.6935732711000941,5.534259475772384e-12,10,1.0,4.0,39,25,run
engine rate,2026-W17,2026-W18,4,4,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W18,2026-W19,4,2,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W19,2026-W20,2,7,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W20,2026-W21,7,7,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W21,2026-W22,7,6,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W22,2026-W23,6,7,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W23,2026-W24,7,2,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W24,2026-W32,2,1,0,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W32,2026-W33,1,7,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W33,2026-W34,7,1,1,4,1.0,0.08333333333333333,4,1.0,0.08333333333333333,4,1.0,0.0,0,0,run
engine rate,2026-W34,2026-W36,1,2,0,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
engine rate,2026-W36,2026-W37,2,2,1,5,0.9999999999999999,0.016666666666666666,5,0.9999999999999999,0.016666666666666666,5,1.0,0.0,0,0,run
