engine,term,n_units,estimate_pp,ci_lo,ci_hi,test,stat,p,status,n_weekend_days,n_weekday_days,q_bh
ChatGPT,round: morning minus evening (paired by day),24.0,0.3472222222222221,-0.23871527777777835,0.9331597222222223,Wilcoxon signed-rank,70.0,0.312471582964051,run,,,0.86786676186086
ChatGPT,weekend minus weekday (day-level),50.0,-0.15914351851851904,-0.5125661375661359,0.20773912863756325,Mann-Whitney U,209.5,0.3584100918716956,run,14.0,36.0,0.86786676186086
Claude,round: morning minus evening (paired by day),24.0,0.4130098972003496,-0.36946614583333404,1.4553600721784778,Wilcoxon signed-rank,125.5,0.7030532890695145,run,,,0.86786676186086
Claude,weekend minus weekday (day-level),50.0,0.20088561963299512,-0.729000944678344,1.1505336811775453,Mann-Whitney U,295.0,0.35459164259292797,run,14.0,36.0,0.86786676186086
Gemini,round: morning minus evening (paired by day),24.0,-0.02893518518518519,-0.26765046296296297,0.21701388888888892,Wilcoxon signed-rank,89.0,0.8080573790843986,run,,,0.86786676186086
Gemini,weekend minus weekday (day-level),51.0,-0.015618295623795797,-0.5009902331421041,0.48858631926265217,Mann-Whitney U,278.5,0.86786676186086,run,15.0,36.0,0.86786676186086
Perplexity,round: morning minus evening (paired by day),24.0,-0.30381944444444464,-1.4756944444444444,0.9114583333333325,Wilcoxon signed-rank,86.5,0.7318366241710871,run,,,0.86786676186086
Perplexity,weekend minus weekday (day-level),52.0,-0.07189676307324078,-3.656316326353085,3.3968139680455964,Mann-Whitney U,297.0,0.7008461518945168,run,15.0,37.0,0.86786676186086
Groq,round: morning minus evening (paired by day),24.0,-0.2893518518518519,-0.4918981481481482,-0.08680555555555558,Wilcoxon signed-rank,27.5,0.01933670539075091,run,,,0.23204046468901093
Groq,weekend minus weekday (day-level),47.0,0.08778751885369651,-0.347644466440422,0.5626944287330323,Mann-Whitney U,229.5,0.8459073800480444,run,13.0,34.0,0.86786676186086
Grok,round: morning minus evening (paired by day),,,,,,,,NOT RUN (only 0 days with both rounds),,,
Grok,weekend minus weekday (day-level),,,,,,,,"NOT RUN (weekend days=2, weekday days=3)",,,
ALL (pooled),round: morning minus evening (paired by day),24.0,0.013407319849400245,-0.20844278084230825,0.21701388888888873,Wilcoxon signed-rank,108.0,0.5478329378357767,run,,,0.86786676186086
ALL (pooled),weekend minus weekday (day-level),52.0,0.39425374740700647,-0.4200382856311009,1.3807963462990522,Mann-Whitney U,316.5,0.43646052584574746,run,15.0,37.0,0.86786676186086
