engine,cut,n_days,n_obs,first_day,last_day,rate_pct,theilsen_pp_per_day,theilsen_lo,theilsen_hi,theilsen_pp_per_30d,theilsen_pp_per_30d_lo,theilsen_pp_per_30d_hi,mk_S,mk_tau,mk_z,mk_p,mk_z_hamedrao,mk_p_hamedrao,mk_hr_factor,logit_beta_per_day,logit_se,logit_p,logit_pp_per_30d,logit_pp_per_30d_lo,logit_pp_per_30d_hi,logit_status,status,mk_q_bh,mk_hr_q_bh,logit_q_bh
ChatGPT,full span (all days),50,15168,2026-04-23,2026-09-08,17.167721518987342,0.0,-0.002389143730886861,0.005918560606060552,0.0,-0.07167431192660582,0.17755681818181657,70.0,0.05714285714285714,0.5849418404323513,0.5585868238452614,0.5530720589660948,0.580214068496951,1.1185668316409334,-3.101724941257603e-05,0.00017283020545049227,0.8575713405812754,-0.013232340070729043,-0.15877195716506462,0.13440597381267216,ok,run,0.7465151917685627,0.6962568821963412,0.8575713405812754
ChatGPT,full span (complete days only),44,13824,2026-04-25,2026-09-08,17.17303240740741,0.0,-0.0028617216117216245,0.007167431192660551,0.0,-0.08585164835164874,0.21502293577981652,58.0,0.0613107822410148,0.5830102593242532,0.559886393826422,0.7658791290482008,0.4437482254942309,0.579471291646124,-5.178050222942772e-05,0.00018316182018637744,0.7774040719488771,-0.022095602082011778,-0.17859531507229068,0.13003765663698347,ok,run,0.7465151917685627,0.6656223382413463,0.848077169398775
Claude,full span (all days),50,15034,2026-04-23,2026-09-08,25.748303844618864,0.0,-0.0073356807511736925,0.004084967320261429,0.0,-0.22007042253521078,0.12254901960784285,-45.0,-0.036734693877551024,-0.3714480193412989,0.7103038654036493,-0.5771736119910472,0.5638221810704382,0.4141743119266056,-0.0002170609431982312,0.000186337656720638,0.24406771438859753,-0.1244955221720967,-0.33886559597431126,0.07924302457657068,ok,run,0.8523646384843792,0.6962568821963412,0.3661015715828963
Claude,full span (complete days only),44,13759,2026-04-25,2026-09-08,25.677738207718587,0.0,-0.005830223880597015,0.006793478260869565,0.0,-0.17490671641791045,0.20380434782608695,4.0,0.004228329809725159,0.030668712325382475,0.975533743366805,0.047657774887164606,0.961988986597605,0.41411747809852073,-0.00011074297108556097,0.00015759766353457745,0.4822463153486174,-0.06340331958896717,-0.23978253994309418,0.11601947098985807,ok,run,0.975533743366805,0.961988986597605,0.5786955784183409
Gemini,full span (all days),51,15355,2026-04-23,2026-09-08,1.8560729404102898,0.016276041666666664,0.010298964218455746,0.02003205128205128,0.48828124999999994,0.30896892655367236,0.6009615384615384,554.0,0.4345098039215686,4.522871180726419,6.100637245598506e-06,2.5616050716794434,0.010418972005945548,3.1174829580605663,0.007865864794425088,0.001054768940449071,8.82268806581362e-14,0.4057348580559126,0.29834418679943586,0.5298887909026238,ok,run,6.871202312863645e-05,0.0645029498893197,2.646806419744086e-13
Gemini,full span (complete days only),44,13819,2026-04-25,2026-09-08,1.830812649251031,0.017297283496732027,0.012112403100775193,0.021701388888888888,0.5189185049019608,0.3633720930232558,0.6510416666666666,432.0,0.45665961945031713,4.387767617349036,1.1452003854772741e-05,2.550706175342066,0.01075049164821995,2.959145842592611,0.008851674327906539,0.0009416545960805329,5.4496407854867715e-21,0.44735515003735077,0.35778760113334773,0.5438390756852652,ok,run,6.871202312863645e-05,0.0645029498893197,2.1798563141947086e-20
Gemini,pre 2026-06-17 (gemini-2.5-pro),38,10939,2026-04-23,2026-06-09,1.4078069293354054,0.0009234633569739944,0.0,0.01929012345679013,0.027703900709219832,0.0,0.5787037037037038,95.0,0.13513513513513514,1.1978977959493917,0.23095680792096385,0.9368801139808128,0.3488202294096805,1.6348258269673757,0.007985241846916643,0.004001210509174996,0.04596587845173407,0.3311652181700273,0.03479756129167107,0.690164949264951,ok,run,0.395925956435938,0.5979775361308808,0.07879864877440125
Gemini,post 2026-06-17 (gemini-2.5-flash),13,4416,2026-08-08,2026-09-08,2.966485507246377,0.0,-0.05787037037037036,0.03720238095238093,0.0,-1.7361111111111107,1.116071428571428,2.0,0.02564102564102564,0.06291091829850325,0.9498374405236165,0.07721307497915593,0.938454040370813,0.6638506002667852,-0.009377445723078609,0.00897956820648537,0.29634235605014025,-0.8090909528617061,-2.1499322061032107,0.7630655788378103,ok,run,0.975533743366805,0.961988986597605,0.395123141400187
Perplexity,full span (all days),52,7741,2026-04-23,2026-09-08,52.03462085001937,-0.060386473429951654,-0.13020833333333334,-0.014619883040935639,-1.8115942028985497,-3.9062500000000004,-0.43859649122806915,-330.0,-0.248868778280543,-2.599890313448825,0.009325356210460267,-1.5858257277858014,0.11277884776185942,2.687813513538053,-0.0011935022117762417,0.0005349681138338125,0.025682571579466334,-0.8936190791497212,-1.6792014070906218,-0.10438827914852354,ok,run,0.018650712420920534,0.22555769552371885,0.05136514315893267
Perplexity,full span (complete days only),44,6912,2026-04-25,2026-09-08,51.736111111111114,-0.0790049125329498,-0.15625,-0.025318287037037052,-2.3701473759884943,-4.6875,-0.7595486111111116,-302.0,-0.3192389006342495,-3.049388199072366,0.0022930796457181213,-2.0603273820714665,0.039367253922870216,2.190548946762026,-0.001619230533071834,0.0005743341720166955,0.0048125849604341055,-1.2128969114280186,-2.0414620721284598,-0.3671514833876801,ok,run,0.006879238937154364,0.15746901569148086,0.011550203905041852
