rank,name,vertical,group,tier,legal_status,origin,founded_year,region,mentions,share_of_mentions,cum_share_of_mentions,first_mentions,share_of_first_mentions,obs_in_vertical,coverage_rate,never_named
1,Nubank,fintech,BR,head,active,BR,2013.0,SP,4605.0,0.2416434905808889,0.2416434905808889,4595,0.3726985156947035,17225,0.26734397677793903,0
2,Mercado Livre,varejo,BR,head,active,BR,1999.0,SP,2370.0,0.12436375085270504,0.366007241433594,2090,0.16951902019628518,17204,0.1377586607765636,0
3,Magazine Luiza,varejo,BR,head,active,BR,1957.0,SP,2030.0,0.10652253765020728,0.4725297790838012,1406,0.1140400681320464,17204,0.11799581492676121,0
4,Totvs,tecnologia,BR,head,active,BR,1969.0,SP,897.0,0.04706931836070735,0.5195990974445086,813,0.06594208776056452,17049,0.052613056484251276,0
5,Hypera Pharma,saude,BR,torso,active,BR,2001.0,SP,778.0,0.04082489373983313,0.5604239911843417,540,0.04379917268229378,17146,0.04537501458066021,0
6,EMS Pharma,saude,BR,torso,active,BR,1964.0,SP,768.0,0.04030015217505378,0.6007241433593955,587,0.047611322897234166,17146,0.04479178817216844,0
7,Americanas,varejo,BR,head,judicial_recovery,BR,1929.0,RJ,638.0,0.03347851183292229,0.6342026551923178,209,0.01695190201962852,17204,0.0370843989769821,0
8,C6 Bank,fintech,BR,torso,active,BR,2018.0,SP,549.0,0.028808311906386105,0.6630109670987039,8,0.0006488766323302783,17225,0.031872278664731496,0
9,PicPay,fintech,BR,torso,active,BR,2012.0,ES,472.0,0.02476780185758514,0.687778768956289,0,0.0,17225,0.027402031930333817,0
10,Banco Inter,fintech,BR,head,active,BR,1994.0,MG,417.0,0.021881723251298734,0.7096604922075878,0,0.0,17225,0.02420899854862119,0
11,Bradesco,fintech,BR,head,active,BR,1943.0,SP,364.0,0.0191005929579682,0.7287610851655559,3,0.00024332873712385432,17225,0.021132075471698115,0
12,Involves,tecnologia,BR,long_tail,active,BR,2008.0,SC,345.0,0.018103583984887442,0.7468646691504434,345,0.02798280476924325,17049,0.02023579095548126,0
13,Amazon Brasil,varejo,BR,head,active,BR,2012.0,SP,326.0,0.017106575011806686,0.76397124416225,2,0.00016221915808256956,17204,0.018949081608928157,0
14,Amazon,varejo,anchor,head,active,US,1994.0,,321.0,0.01684420422941701,0.780815448391667,0,0.0,17204,0.018658451522901652,0
15,Eurofarma,saude,BR,torso,active,BR,1972.0,SP,303.0,0.015899669412814187,0.7967151178044812,60,0.004866574742477086,17146,0.01767176017730083,0
16,Microsoft,tecnologia,anchor,head,active,US,1975.0,,267.0,0.014010599779608543,0.8107257175840897,170,0.013788628437018412,17049,0.015660742565546365,0
17,Walmart,varejo,anchor,head,active,US,1962.0,,261.0,0.013695754840740934,0.8244214724248307,208,0.016870792440587232,17204,0.015170890490583585,0
18,Mercado Pago,fintech,BR,head,active,BR,2004.0,SP,251.0,0.01317101327596159,0.8375924857007923,0,0.0,17225,0.014571843251088535,0
19,Movile,tecnologia,BR,torso,active,BR,1998.0,SP,246.0,0.012908642493571916,0.8505011281943642,79,0.006407656744261497,17049,0.014428998768256202,0
20,Accenture,tecnologia,anchor,head,active,IE,1989.0,,244.0,0.012803694180616047,0.8633048223749802,212,0.01719523075675237,17049,0.01431168983518095,0
21,Google,tecnologia,anchor,head,active,US,1998.0,,235.0,0.012331426772314635,0.8756362491472949,73,0.005920999270013789,17049,0.013783799636342308,0
22,PagBank,fintech,BR,head,active,BR,2006.0,SP,187.0,0.009812667261373774,0.8854489164086686,2,0.00016221915808256956,17225,0.010856313497822932,0
23,Sírio-Libanês,saude,BR,head,active,BR,1921.0,SP,186.0,0.009760193104895839,0.8952091095135645,186,0.015086381701678968,17146,0.010848011197947044,0
24,Casas Bahia,varejo,BR,head,active,BR,1952.0,SP,173.0,0.009078029070682688,0.9042871385842471,2,0.00016221915808256956,17204,0.01005580097651709,0
25,iFood,tecnologia,BR,head,active,BR,2011.0,SP,139.0,0.007293907750432912,0.9115810463346801,28,0.0022710682131559736,17049,0.00815297084873013,0
26,Pfizer,saude,anchor,head,active,US,1849.0,,137.0,0.007188959437477042,0.9187700057721571,59,0.004785465163435801,17146,0.007990201796337339,0
