variant,engine,n,rate_200_pct,rate_full_pct,delta_vs_base_200_pp,delta_vs_base_full_pp,flipped_rows_200,flipped_rows_full,mean_entities_full,mean_entities_full_delta_vs_base,window_effect_200_to_full_pp
base,ALL,2225,21.752808988764045,61.43820224719101,0.0,0.0,0,0,2.818876404494382,0.0,39.68539325842696
base,ChatGPT,192,17.1875,53.645833333333336,0.0,0.0,0,0,1.859375,0.0,36.458333333333336
base,Claude,192,25.0,66.14583333333334,0.0,0.0,0,0,2.34375,0.0,41.145833333333336
base,Gemini,768,2.604166666666667,33.33333333333333,0.0,0.0,0,0,1.7942708333333333,0.0,30.729166666666664
base,Grok,768,28.385416666666668,84.11458333333334,0.0,0.0,0,0,4.345052083333333,0.0,55.72916666666667
base,Perplexity,305,54.09836065573771,77.04918032786885,0.0,0.0,0,0,2.459016393442623,0.0,22.95081967213114
no_aliases,ALL,2225,20.808988764044944,60.67415730337079,-0.9438202247190997,-0.764044943820219,21,17,2.622022471910112,-0.19685393258426975,39.86516853932584
no_aliases,ChatGPT,192,17.1875,53.645833333333336,0.0,0.0,0,0,1.8020833333333333,-0.05729166666666674,36.458333333333336
no_aliases,Claude,192,25.0,66.14583333333334,0.0,0.0,0,0,2.2291666666666665,-0.11458333333333348,41.145833333333336
no_aliases,Gemini,768,2.604166666666667,33.33333333333333,0.0,0.0,0,0,1.74609375,-0.04817708333333326,30.729166666666664
no_aliases,Grok,768,27.734375,83.72395833333334,-0.6510416666666685,-0.390625,5,3,3.9895833333333335,-0.35546874999999956,55.989583333333336
no_aliases,Perplexity,305,48.85245901639344,72.45901639344262,-5.245901639344269,-4.5901639344262275,16,14,2.1475409836065573,-0.3114754098360657,23.60655737704918
no_stop_contexts,ALL,2225,21.752808988764045,61.43820224719101,0.0,0.0,0,0,2.818876404494382,0.0,39.68539325842696
no_stop_contexts,ChatGPT,192,17.1875,53.645833333333336,0.0,0.0,0,0,1.859375,0.0,36.458333333333336
no_stop_contexts,Claude,192,25.0,66.14583333333334,0.0,0.0,0,0,2.34375,0.0,41.145833333333336
no_stop_contexts,Gemini,768,2.604166666666667,33.33333333333333,0.0,0.0,0,0,1.7942708333333333,0.0,30.729166666666664
no_stop_contexts,Grok,768,28.385416666666668,84.11458333333334,0.0,0.0,0,0,4.345052083333333,0.0,55.72916666666667
no_stop_contexts,Perplexity,305,54.09836065573771,77.04918032786885,0.0,0.0,0,0,2.459016393442623,0.0,22.95081967213114
no_aliases_no_stop,ALL,2225,20.808988764044944,60.67415730337079,-0.9438202247190997,-0.764044943820219,21,17,2.622022471910112,-0.19685393258426975,39.86516853932584
no_aliases_no_stop,ChatGPT,192,17.1875,53.645833333333336,0.0,0.0,0,0,1.8020833333333333,-0.05729166666666674,36.458333333333336
no_aliases_no_stop,Claude,192,25.0,66.14583333333334,0.0,0.0,0,0,2.2291666666666665,-0.11458333333333348,41.145833333333336
no_aliases_no_stop,Gemini,768,2.604166666666667,33.33333333333333,0.0,0.0,0,0,1.74609375,-0.04817708333333326,30.729166666666664
no_aliases_no_stop,Grok,768,27.734375,83.72395833333334,-0.6510416666666685,-0.390625,5,3,3.9895833333333335,-0.35546874999999956,55.989583333333336
no_aliases_no_stop,Perplexity,305,48.85245901639344,72.45901639344262,-5.245901639344269,-4.5901639344262275,16,14,2.1475409836065573,-0.3114754098360657,23.60655737704918
no_ambiguity_guard,ALL,2225,21.79775280898876,61.48314606741573,0.04494382022471877,0.04494382022471877,1,1,2.941123595505618,0.12224719101123593,39.68539325842696
no_ambiguity_guard,ChatGPT,192,17.1875,53.645833333333336,0.0,0.0,0,0,1.96875,0.109375,36.458333333333336
no_ambiguity_guard,Claude,192,25.520833333333332,66.66666666666666,0.5208333333333315,0.5208333333333259,1,1,2.5104166666666665,0.16666666666666652,41.14583333333333
no_ambiguity_guard,Gemini,768,2.604166666666667,33.33333333333333,0.0,0.0,0,0,1.875,0.08072916666666674,30.729166666666664
no_ambiguity_guard,Grok,768,28.385416666666668,84.11458333333334,0.0,0.0,0,0,4.5078125,0.16276041666666696,55.72916666666667
no_ambiguity_guard,Perplexity,305,54.09836065573771,77.04918032786885,0.0,0.0,0,0,2.5639344262295083,0.10491803278688527,22.95081967213114
