stratum,label,n,n_queries,rate_200_pct,rate_full_pct,discordant_share_pct,design_effect,effective_n,mde_paired_pp,mde_paired_pp_clustered,mde_unpaired_pp,mde_unpaired_pp_clustered,small_n
engine,ChatGPT,192,192,17.1875,53.645833333333336,36.45833333333333,1.059479460025364,181.22106868914994,12.133390751675124,12.489022697441067,13.92833872001907,14.336580925488605,0
engine,Claude,192,192,25.0,66.14583333333334,41.14583333333333,1.0133645983270492,189.4678384433109,12.889815758128028,12.975663485080874,12.726938223083131,12.811701166015968,0
engine,Gemini,768,192,2.604166666666667,33.33333333333333,30.729166666666668,1.05779665778261,726.0374613112394,5.595408206705911,5.754834926818398,6.888618483227391,7.084891893551771,0
engine,Grok,768,192,28.385416666666668,84.11458333333334,55.729166666666664,3.01005653748107,255.14470922286785,7.535249876037299,13.07329270641305,4.873920850308302,8.456016051517945,0
engine,Perplexity,305,96,54.09836065573771,77.04918032786885,22.950819672131146,2.6615508445458054,114.59484256144216,7.655494166953745,12.489372346639644,8.801327920662114,14.35871534205154,0
vertical,Fintech,569,48,37.434094903339194,68.89279437609842,31.45869947275923,2.7090115868064415,210.0397070175599,6.573822044205708,10.819903182460948,7.400983220948632,12.181333989146296,0
vertical,Retail,552,48,28.26086956521739,66.84782608695652,38.58695652173913,2.5374323993400827,217.54274129374252,7.391399676947522,11.773997169303298,7.668436644361379,12.215298223594303,0
vertical,Health,552,48,11.41304347826087,53.07971014492754,41.66666666666667,4.345619079626263,127.02447910999915,7.680700009791441,16.01130131130731,8.33384800472918,17.372863321865296,0
vertical,Technology,552,48,9.420289855072465,56.70289855072463,47.28260869565217,3.3893262717422115,162.86422602691954,8.181955979377152,15.063081558295414,8.223401820952915,15.139383862228787,0
engine x vertical,ChatGPT / Fintech,48,48,18.75,60.416666666666664,41.66666666666667,0.9740975298271026,49.27637996219922,25.466195056538947,25.134212480911593,25.089509732739746,24.762437704750866,0
engine x vertical,ChatGPT / Retail,48,48,22.916666666666664,62.5,39.58333333333333,0.9956224111583449,48.21104814641022,24.82137659608758,24.76698811759332,24.535200093574637,24.481438683627214,0
engine x vertical,ChatGPT / Health,48,48,6.25,29.166666666666668,22.916666666666664,1.0027250783284058,47.86955172201184,18.886235725038723,18.911951453454066,27.97796257969904,28.0160577140492,0
engine x vertical,ChatGPT / Technology,48,48,20.833333333333336,62.5,41.66666666666667,1.0609262093301102,45.243485906817355,25.466195056538947,26.23050491201697,24.535200093574637,25.27156825521052,0
engine x vertical,Claude / Fintech,48,48,50.0,77.08333333333334,27.083333333333332,0.9780949733747936,49.07498893934813,20.531502841426335,20.305386153808595,19.193833298750736,18.982448577343803,0
engine x vertical,Claude / Retail,48,48,29.166666666666668,75.0,45.83333333333333,0.9313835125448028,51.536235453481936,26.70917070452502,25.776543283476588,20.133188488784345,19.430180377244742,0
engine x vertical,Claude / Health,48,48,12.5,56.25,43.75,1.02874461472511,46.65881046952167,26.095084694067832,26.46747418282131,26.05966390460615,26.43154792155015,0
engine x vertical,Claude / Technology,48,48,8.333333333333332,56.25,47.91666666666667,0.9928661848001684,48.34488346449309,27.309451738479517,27.211867098326422,26.05966390460615,25.96654512108043,0
engine x vertical,Gemini / Fintech,192,48,3.125,36.97916666666667,33.85416666666667,1.1606577919651604,165.42343602838906,11.692027884499701,12.596269332413215,14.151827249372358,15.246305374895742,0
engine x vertical,Gemini / Retail,192,48,7.291666666666667,34.375,27.083333333333332,1.1039360128632443,173.92312395173667,10.457667657825757,10.98769983043736,14.0402772796726,14.751888980685617,0
engine x vertical,Gemini / Health,192,48,0.0,30.208333333333332,30.208333333333332,1.0996106993809698,174.60724973673607,11.044528008866427,11.581548744469428,13.769885292750875,14.439421729540715,0
engine x vertical,Gemini / Technology,192,48,0.0,31.770833333333332,31.770833333333332,1.0025001397389766,191.52117031124953,11.326561348758288,11.340711503005666,13.885052652336189,13.902399102923779,0
engine x vertical,Grok / Fintech,192,48,57.8125,93.22916666666666,35.41666666666667,2.968087783871192,64.68811368832895,11.958800487526693,20.602787880211316,5.57486502111695,9.604455029639604,0
engine x vertical,Grok / Retail,192,48,38.54166666666667,92.1875,53.645833333333336,2.418835669369321,79.3770335171473,14.718100919170462,22.890483107353376,6.0776869910401805,9.452387380968423,0
engine x vertical,Grok / Health,192,48,11.458333333333332,72.39583333333334,60.9375,3.4496403207629656,55.65797652711077,15.686501486738635,29.13486450514191,11.755370465771005,21.8334933393228,0
engine x vertical,Grok / Technology,192,48,5.729166666666666,78.64583333333334,72.91666666666666,2.7250868391463885,70.45647031936144,17.15920575859124,28.326137248983656,10.480451061483823,17.300957828436232,0
engine x vertical,Perplexity / Fintech,89,24,70.78651685393258,85.39325842696628,14.606741573033707,2.32675180487547,38.25074931219979,11.20003906746639,17.084196866513917,11.77110078480996,17.955276935365323,0
engine x vertical,Perplexity / Retail,72,24,59.72222222222222,83.33333333333334,23.61111111111111,2.6935975931482883,26.730050614518888,15.782085472059654,25.901847897079268,13.760636932863807,22.584209509762214,0
engine x vertical,Perplexity / Health,72,24,44.44444444444444,76.38888888888889,31.944444444444443,2.582950745172924,27.875096005820165,18.357090475745682,29.502710024329343,16.662655017803548,26.779487733920174,0
engine x vertical,Perplexity / Technology,72,24,37.5,61.111111111111114,23.61111111111111,2.7318553660330664,26.355714469815204,15.782085472059654,26.085144229893004,20.89309617746157,34.5327889753841,0
all,all engines,2225,192,21.752808988764045,61.43820224719101,39.68539325842696,3.488991594772492,637.7200803044888,3.7395904217197886,6.9851220735795945,4.043644880447664,7.553060610082113,0
