engine,vertical,n,preamble_share_pct,delta_pp,mean_log_len
ChatGPT,fintech,48,0.0,41.666666666666664,3.208718141646228
ChatGPT,saude,48,0.0,22.916666666666668,3.149362091090707
ChatGPT,tecnologia,48,0.0,41.666666666666664,3.194981402027843
ChatGPT,varejo,48,0.0,39.583333333333336,3.1828170737418824
Claude,fintech,48,0.0,27.083333333333336,3.0800976374944575
Claude,saude,48,0.0,43.75,3.0600349848223836
Claude,tecnologia,48,0.0,47.91666666666667,3.0524864526620683
Claude,varejo,48,0.0,45.83333333333333,3.0711837225669014
Gemini,fintech,192,31.25,33.85416666666667,2.846554158739887
Gemini,saude,192,41.14583333333333,30.208333333333332,2.862478132621902
Gemini,tecnologia,192,42.1875,31.770833333333332,2.8525700460026733
Gemini,varejo,192,31.25,27.083333333333332,2.821315056104742
Grok,fintech,192,2.604166666666667,35.416666666666664,3.2329074146440338
Grok,saude,192,14.0625,60.9375,3.2137917555158424
Grok,tecnologia,192,16.666666666666664,72.91666666666667,3.239911347473848
Grok,varejo,192,5.208333333333334,53.64583333333333,3.2297493942316158
Perplexity,fintech,89,0.0,14.60674157303371,2.7237542736086375
Perplexity,saude,72,6.944444444444445,31.944444444444443,2.7402687911062795
Perplexity,tecnologia,72,12.5,23.611111111111114,2.7406712261600172
Perplexity,varejo,72,0.0,23.611111111111114,2.7044940230210335
