engine,vertical,lang,qtype,n_even,n_odd,rate_even_pct,rate_odd_pct
ChatGPT,fintech,en,directive,480,468,41.458333333333336,41.02564102564102
ChatGPT,fintech,en,exploratory,480,468,0.0,0.4273504273504274
ChatGPT,fintech,pt,directive,480,468,31.041666666666668,30.982905982905983
ChatGPT,fintech,pt,exploratory,480,468,0.0,0.0
ChatGPT,saude,en,directive,497,451,22.132796780684107,23.059866962305986
ChatGPT,saude,en,exploratory,492,456,0.0,0.0
ChatGPT,saude,pt,directive,497,451,8.450704225352112,8.2039911308204
ChatGPT,saude,pt,exploratory,495,453,0.0,0.0
ChatGPT,tecnologia,en,directive,478,470,48.95397489539749,50.0
ChatGPT,tecnologia,en,exploratory,477,471,17.19077568134172,16.13588110403397
ChatGPT,tecnologia,pt,directive,480,468,14.166666666666666,17.094017094017094
ChatGPT,tecnologia,pt,exploratory,477,471,0.0,0.0
ChatGPT,varejo,en,directive,486,462,53.086419753086425,53.896103896103895
ChatGPT,varejo,en,exploratory,488,460,2.2540983606557377,1.956521739130435
ChatGPT,varejo,pt,directive,486,462,33.95061728395062,33.98268398268398
ChatGPT,varejo,pt,exploratory,486,462,0.0,0.0
Claude,fintech,en,directive,480,468,58.333333333333336,58.333333333333336
Claude,fintech,en,exploratory,480,468,52.29166666666667,53.41880341880342
Claude,fintech,pt,directive,480,468,58.54166666666667,58.54700854700855
Claude,fintech,pt,exploratory,480,468,33.33333333333333,33.547008547008545
Claude,saude,en,directive,498,441,8.433734939759036,8.390022675736962
Claude,saude,en,exploratory,490,447,5.510204081632653,5.592841163310962
Claude,saude,pt,directive,497,443,28.973843058350102,28.893905191873586
Claude,saude,pt,exploratory,493,445,1.6227180527383367,0.6741573033707865
Claude,tecnologia,en,directive,466,458,0.8583690987124464,1.0917030567685588
Claude,tecnologia,en,exploratory,465,459,12.688172043010754,14.814814814814813
Claude,tecnologia,pt,directive,468,456,8.76068376068376,9.429824561403509
Claude,tecnologia,pt,exploratory,465,459,16.344086021505376,18.082788671023962
Claude,varejo,en,directive,486,462,56.5843621399177,58.00865800865801
Claude,varejo,en,exploratory,489,459,15.132924335378323,15.032679738562091
Claude,varejo,pt,directive,486,462,25.720164609053498,25.324675324675322
Claude,varejo,pt,exploratory,486,462,23.25102880658436,24.025974025974026
Gemini,fintech,en,directive,504,456,8.928571428571429,7.675438596491229
Gemini,fintech,en,exploratory,504,456,5.753968253968254,6.140350877192982
Gemini,fintech,pt,directive,504,456,2.7777777777777777,3.9473684210526314
Gemini,fintech,pt,exploratory,504,456,0.0,0.0
Gemini,saude,en,directive,534,426,0.0,0.0
Gemini,saude,en,exploratory,528,432,0.0,0.0
Gemini,saude,pt,directive,533,427,0.0,0.0
Gemini,saude,pt,exploratory,530,430,0.0,0.0
Gemini,tecnologia,en,directive,514,446,0.9727626459143969,1.1210762331838564
Gemini,tecnologia,en,exploratory,512,446,0.390625,1.7937219730941705
Gemini,tecnologia,pt,directive,515,444,0.0,0.0
Gemini,tecnologia,pt,exploratory,512,446,0.0,0.0
Gemini,varejo,en,directive,510,450,5.686274509803922,5.555555555555555
Gemini,varejo,en,exploratory,512,448,0.78125,0.8928571428571428
Gemini,varejo,pt,directive,510,450,3.5294117647058822,3.5555555555555554
Gemini,varejo,pt,exploratory,510,450,0.0,0.0
Grok,fintech,en,directive,36,36,88.88888888888889,91.66666666666666
Grok,fintech,en,exploratory,36,36,36.11111111111111,41.66666666666667
Grok,fintech,pt,directive,36,36,75.0,83.33333333333334
Grok,fintech,pt,exploratory,36,36,27.77777777777778,27.77777777777778
Grok,varejo,en,directive,36,36,80.55555555555556,69.44444444444444
Grok,varejo,en,exploratory,36,36,11.11111111111111,22.22222222222222
Grok,varejo,pt,directive,36,36,44.44444444444444,63.888888888888886
Grok,varejo,pt,exploratory,36,36,13.88888888888889,19.444444444444446
Groq,fintech,en,directive,468,420,16.88034188034188,16.666666666666664
Groq,fintech,en,exploratory,468,420,8.76068376068376,8.80952380952381
Groq,fintech,pt,directive,468,420,9.82905982905983,9.523809523809524
Groq,fintech,pt,exploratory,468,420,2.7777777777777777,1.9047619047619049
Groq,saude,en,directive,484,404,18.388429752066116,18.316831683168317
Groq,saude,en,exploratory,479,409,0.0,0.0
Groq,saude,pt,directive,484,404,5.1652892561983474,6.188118811881188
Groq,saude,pt,exploratory,483,405,0.0,0.0
Groq,tecnologia,en,directive,466,422,4.506437768240343,3.5545023696682465
Groq,tecnologia,en,exploratory,466,422,20.386266094420602,18.48341232227488
Groq,tecnologia,pt,directive,467,421,0.0,0.0
Groq,tecnologia,pt,exploratory,464,424,0.0,0.0
Groq,varejo,en,directive,474,414,18.776371308016877,17.391304347826086
Groq,varejo,en,exploratory,476,412,8.403361344537815,8.495145631067961
Groq,varejo,pt,directive,474,414,18.143459915611814,17.874396135265698
Groq,varejo,pt,exploratory,475,413,6.7368421052631575,6.2953995157385
Perplexity,fintech,en,directive,252,238,100.0,99.57983193277312
Perplexity,fintech,en,exploratory,252,238,37.301587301587304,36.554621848739494
Perplexity,fintech,pt,directive,252,239,98.4126984126984,96.23430962343096
Perplexity,fintech,pt,exploratory,252,238,36.11111111111111,38.23529411764706
Perplexity,saude,en,directive,262,218,53.81679389312977,52.293577981651374
Perplexity,saude,en,exploratory,259,221,3.861003861003861,3.619909502262444
Perplexity,saude,pt,directive,262,218,75.95419847328245,77.06422018348624
Perplexity,saude,pt,exploratory,260,220,45.0,44.54545454545455
Perplexity,tecnologia,en,directive,248,232,52.41935483870967,43.96551724137931
Perplexity,tecnologia,en,exploratory,251,229,10.358565737051793,8.296943231441048
Perplexity,tecnologia,pt,directive,248,232,39.516129032258064,33.62068965517241
Perplexity,tecnologia,pt,exploratory,248,232,11.693548387096774,15.086206896551724
Perplexity,varejo,en,directive,254,232,91.73228346456693,94.39655172413794
Perplexity,varejo,en,exploratory,254,230,51.181102362204726,56.086956521739125
Perplexity,varejo,pt,directive,254,232,85.43307086614173,86.63793103448276
Perplexity,varejo,pt,exploratory,254,230,37.40157480314961,44.34782608695652
