engine,day,n,mean_len_full,median_len_full,rows_at_or_below_window,rate_200_pct,rate_full_pct,delta_pp,ends_without_terminal_punctuation_pct
ChatGPT,2026-09-08,192,1894.6979166666667,1894.5,0,17.1875,53.645833333333336,36.458333333333336,0.0
Claude,2026-09-08,192,1194.4375,1130.5,0,25.0,66.14583333333334,41.145833333333336,1.041666666666663
Gemini,2026-09-06,384,142.6484375,143.0,378,1.5625,1.5625,0.0,96.09375
Gemini,2026-09-07,96,3539.7291666666665,3401.5,0,7.291666666666667,67.70833333333334,60.41666666666667,69.79166666666667
Gemini,2026-09-08,288,3684.027777777778,3440.0,0,2.430555555555556,64.23611111111111,61.80555555555556,73.61111111111111
Grok,2026-09-06,384,2013.2135416666667,1955.0,1,27.864583333333332,83.85416666666666,55.98958333333333,10.9375
Grok,2026-09-07,96,2014.1041666666667,2023.0,0,51.041666666666664,92.70833333333334,41.66666666666667,9.375
Grok,2026-09-08,288,2016.5243055555557,1991.0,0,21.52777777777778,81.59722222222221,60.06944444444444,6.597222222222221
Perplexity,2026-09-06,192,555.078125,530.0,0,54.166666666666664,74.47916666666666,20.3125,0.0
Perplexity,2026-09-07,17,536.1764705882352,474.0,0,82.35294117647058,94.11764705882352,11.764705882352944,0.0
Perplexity,2026-09-08,96,562.1354166666666,529.0,0,48.95833333333333,79.16666666666666,30.208333333333332,1.041666666666663
