engine,n,n_queries,window_chars,cited,rate_pct,ci_lo_pct,ci_hi_pct,rate_full_pct,gap_to_full_pp,saturation_window,window_95pct_of_full,median_len_full,dates
ChatGPT,192,192,50,2,1.0416666666666665,0.28612893782969767,3.7178541145399757,53.645833333333336,52.60416666666667,full,1200,1894.5,2026-09-08
ChatGPT,192,192,100,7,3.6458333333333335,1.777064657657273,7.333089508948057,53.645833333333336,50.0,full,1200,1894.5,2026-09-08
ChatGPT,192,192,150,22,11.458333333333332,7.689746970711998,16.7389205386003,53.645833333333336,42.1875,full,1200,1894.5,2026-09-08
ChatGPT,192,192,200,33,17.1875,12.50822162512063,23.15402233551011,53.645833333333336,36.458333333333336,full,1200,1894.5,2026-09-08
ChatGPT,192,192,300,69,35.9375,29.48764248789199,42.93903349523546,53.645833333333336,17.708333333333336,full,1200,1894.5,2026-09-08
ChatGPT,192,192,400,80,41.66666666666667,34.92343227074966,48.73682016369626,53.645833333333336,11.979166666666664,full,1200,1894.5,2026-09-08
ChatGPT,192,192,600,88,45.83333333333333,38.936237692201736,52.893888525021225,53.645833333333336,7.812500000000007,full,1200,1894.5,2026-09-08
ChatGPT,192,192,800,92,47.91666666666667,40.96078946077781,54.95427364783367,53.645833333333336,5.729166666666664,full,1200,1894.5,2026-09-08
ChatGPT,192,192,1200,98,51.041666666666664,44.020020124135364,58.02244832155888,53.645833333333336,2.6041666666666714,full,1200,1894.5,2026-09-08
ChatGPT,192,192,1600,101,52.604166666666664,45.55969934414099,59.54647177009467,53.645833333333336,1.0416666666666714,full,1200,1894.5,2026-09-08
ChatGPT,192,192,full,103,53.645833333333336,46.589890464799325,60.558749095130594,53.645833333333336,0.0,full,1200,1894.5,2026-09-08
Claude,192,192,50,1,0.5208333333333333,0.09199911384848522,2.890749715674057,66.14583333333334,65.62500000000001,1200,1200,1130.5,2026-09-08
Claude,192,192,100,10,5.208333333333334,2.853345831542077,9.320511003604647,66.14583333333334,60.93750000000001,1200,1200,1130.5,2026-09-08
Claude,192,192,150,28,14.583333333333334,10.286402443834863,20.269670402560223,66.14583333333334,51.56250000000001,1200,1200,1130.5,2026-09-08
Claude,192,192,200,48,25.0,19.406065206654983,31.574692096682718,66.14583333333334,41.14583333333334,1200,1200,1130.5,2026-09-08
Claude,192,192,300,84,43.75,36.923733031323984,50.82145629451043,66.14583333333334,22.395833333333343,1200,1200,1130.5,2026-09-08
Claude,192,192,400,101,52.604166666666664,45.55969934414099,59.54647177009467,66.14583333333334,13.541666666666679,1200,1200,1130.5,2026-09-08
Claude,192,192,600,112,58.333333333333336,51.26317983630375,65.07656772925034,66.14583333333334,7.812500000000007,1200,1200,1130.5,2026-09-08
Claude,192,192,800,119,61.979166666666664,54.94137829607807,68.54700882940593,66.14583333333334,4.1666666666666785,1200,1200,1130.5,2026-09-08
