engine,vertical,vertical_label,n,rate_50,rate_100,rate_150,rate_200,rate_300,rate_400,rate_600,rate_800,rate_1200,rate_1600,rate_full,delta_200_full_pp
ChatGPT,fintech,Fintech,48,4.166666666666666,4.166666666666666,14.583333333333334,18.75,47.91666666666667,52.083333333333336,54.166666666666664,58.333333333333336,58.333333333333336,60.416666666666664,60.416666666666664,41.666666666666664
ChatGPT,varejo,Retail,48,0.0,6.25,14.583333333333334,22.916666666666664,41.66666666666667,45.83333333333333,52.083333333333336,52.083333333333336,58.333333333333336,58.333333333333336,62.5,39.583333333333336
ChatGPT,saude,Health,48,0.0,0.0,4.166666666666666,6.25,12.5,18.75,25.0,27.083333333333332,29.166666666666668,29.166666666666668,29.166666666666668,22.916666666666668
ChatGPT,tecnologia,Technology,48,0.0,4.166666666666666,12.5,20.833333333333336,41.66666666666667,50.0,52.083333333333336,54.166666666666664,58.333333333333336,62.5,62.5,41.666666666666664
Claude,fintech,Fintech,48,2.083333333333333,14.583333333333334,29.166666666666668,50.0,66.66666666666666,70.83333333333334,70.83333333333334,72.91666666666666,77.08333333333334,77.08333333333334,77.08333333333334,27.083333333333343
Claude,varejo,Retail,48,0.0,4.166666666666666,22.916666666666664,29.166666666666668,54.166666666666664,68.75,68.75,68.75,72.91666666666666,75.0,75.0,45.83333333333333
Claude,saude,Health,48,0.0,0.0,2.083333333333333,12.5,33.33333333333333,41.66666666666667,47.91666666666667,52.083333333333336,56.25,56.25,56.25,43.75
Claude,tecnologia,Technology,48,0.0,2.083333333333333,4.166666666666666,8.333333333333332,20.833333333333336,29.166666666666668,45.83333333333333,54.166666666666664,56.25,56.25,56.25,47.91666666666667
Gemini,fintech,Fintech,192,0.0,2.083333333333333,3.125,3.125,6.770833333333333,16.666666666666664,22.916666666666664,25.520833333333332,28.125,32.8125,36.97916666666667,33.85416666666667
Gemini,varejo,Retail,192,1.0416666666666665,4.166666666666666,6.25,7.291666666666667,9.895833333333332,16.145833333333336,22.395833333333336,22.916666666666664,26.041666666666668,29.6875,34.375,27.083333333333332
Gemini,saude,Health,192,0.0,0.0,0.0,0.0,0.5208333333333333,2.604166666666667,9.375,10.9375,16.145833333333336,21.354166666666664,30.208333333333332,30.208333333333332
Gemini,tecnologia,Technology,192,0.0,0.0,0.0,0.0,2.083333333333333,6.25,13.541666666666666,14.583333333333334,16.145833333333336,20.3125,31.770833333333332,31.770833333333332
Grok,fintech,Fintech,192,42.1875,52.083333333333336,53.645833333333336,57.8125,65.625,71.875,78.64583333333334,81.25,86.45833333333334,89.58333333333334,93.22916666666666,35.41666666666666
Grok,varejo,Retail,192,24.479166666666664,27.083333333333332,34.375,38.54166666666667,52.604166666666664,60.9375,67.70833333333334,73.95833333333334,80.72916666666666,85.41666666666666,92.1875,53.64583333333333
Grok,saude,Health,192,4.166666666666666,5.729166666666666,7.291666666666667,11.458333333333332,21.875,37.5,53.645833333333336,59.895833333333336,66.66666666666666,68.75,72.39583333333334,60.937500000000014
Grok,tecnologia,Technology,192,0.0,0.5208333333333333,2.604166666666667,5.729166666666666,18.229166666666664,30.208333333333332,45.3125,55.208333333333336,67.70833333333334,72.39583333333334,78.64583333333334,72.91666666666667
Perplexity,fintech,Fintech,89,30.337078651685395,55.0561797752809,69.66292134831461,70.78651685393258,73.03370786516854,79.7752808988764,80.89887640449437,85.39325842696628,85.39325842696628,85.39325842696628,85.39325842696628,14.606741573033702
Perplexity,varejo,Retail,72,9.722222222222223,30.555555555555557,45.83333333333333,59.72222222222222,73.61111111111111,79.16666666666666,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,23.61111111111112
Perplexity,saude,Health,72,6.944444444444445,15.277777777777779,30.555555555555557,44.44444444444444,58.333333333333336,72.22222222222221,75.0,75.0,76.38888888888889,76.38888888888889,76.38888888888889,31.944444444444443
Perplexity,tecnologia,Technology,72,5.555555555555555,11.11111111111111,22.22222222222222,37.5,51.388888888888886,55.55555555555556,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114,23.611111111111114
