panel_rule,vertical,entity,mentions,panel_observations,coverage,prominence,breadth,gci,geometric,arithmetic,harmonic,weighted,rank_gci,rank_coverage,abs_rank_shift
series,fintech,Nubank,4605,17225,0.26734397677793903,0.5161378935939197,1.0,0.5167478951977883,0.5167478951977883,0.5944939567906196,0.4492385725339871,0.43944085946524336,1,1,0
series,varejo,Mercado Livre,2370,17204,0.1377586607765636,0.5593818565400843,1.0,0.42554199900848166,0.42554199900848166,0.5657135057722159,0.2986037493349876,0.3725006606009592,2,2,0
series,varejo,Magazine Luiza,2030,17204,0.11799581492676121,0.4950985221674877,1.0,0.3880187789653904,0.3880187789653904,0.5376981123647496,0.260990372957751,0.34457211949792865,3,3,0
series,saude,EMS Pharma,768,17146,0.04479178817216844,0.5052473958333333,0.8333333333333334,0.2661789736261326,0.2661789736261326,0.4611241724462784,0.11762515174555757,0.2781869218616344,4,6,2
series,tecnologia,Totvs,897,17049,0.052613056484251276,0.38054626532887403,0.6666666666666666,0.2372119584521516,0.2372119584521516,0.36660866282659726,0.12967651138613645,0.22670440022276928,5,4,1
series,fintech,C6 Bank,549,17225,0.031872278664731496,0.4796357012750455,0.8333333333333334,0.233550673094088,0.233550673094088,0.44828043775770343,0.0865547486987339,0.2640322925176003,6,8,2
series,varejo,Americanas,638,17204,0.0370843989769821,0.3428526645768025,1.0,0.23339932262691923,0.23339932262691923,0.4599790211845949,0.09714326901450913,0.2579638055303899,7,7,0
series,saude,Hypera Pharma,778,17146,0.04537501458066021,0.38221079691516713,0.6666666666666666,0.22612200269094315,0.22612200269094315,0.3647508260541647,0.1147011829938892,0.2227777079771879,8,5,3
series,fintech,Banco Inter,417,17225,0.02420899854862119,0.4502398081534772,0.8333333333333334,0.208647486047085,0.208647486047085,0.4359273800118106,0.06707209054823961,0.25208535116754205,9,10,1
series,fintech,PicPay,472,17225,0.027402031930333817,0.4633156779661017,0.6666666666666666,0.2037931122752532,0.2037931122752532,0.3857947921877007,0.07471607947058308,0.23227013864972568,10,9,1
series,tecnologia,Involves,345,17049,0.02023579095548126,0.6961449275362318,0.5,0.19168874640240555,0.19168874640240555,0.4054602394972377,0.05676026721492252,0.2611777064573467,11,12,1
series,saude,Eurofarma,303,17146,0.01767176017730083,0.32222772277227724,0.6666666666666666,0.1559973248071948,0.1559973248071948,0.3355220498720815,0.04902693461034075,0.1911599867994498,12,15,3
series,varejo,Amazon Brasil,326,17204,0.018949081608928157,0.3782208588957055,0.5,0.1530269359030443,0.1530269359030443,0.29905664683487787,0.052249366616046795,0.18092466368928328,13,13,0
series,varejo,Amazon,321,17204,0.018658451522901652,0.38169781931464175,0.5,0.15270564575954618,0.15270564575954618,0.30011875694584783,0.0515332082195309,0.18161952574240142,14,14,0
series,fintech,Bradesco,364,17225,0.021132075471698115,0.27490384615384617,0.5,0.14268040206624907,0.14268040206624907,0.26534530720851474,0.05664752673618621,0.1564052068214804,15,11,4
series,tecnologia,Microsoft,267,17049,0.015660742565546365,0.2797191011235955,0.5,0.12986780282673568,0.12986780282673568,0.26512661456304726,0.043209642399159934,0.15432622082022668,16,16,0
series,fintech,Mercado Pago,251,17225,0.014571843251088535,0.43298804780876493,0.3333333333333333,0.12812180491310926,0.12812180491310926,0.2602977414643956,0.04057616499836547,0.16699011790284435,17,18,1
series,tecnologia,Google,235,17049,0.013783799636342308,0.2618936170212766,0.5,0.12175532282730665,0.12175532282730665,0.25855913888587295,0.03828128246845506,0.14874368403712454,18,21,3
series,varejo,Casas Bahia,173,17204,0.01005580097651709,0.23898843930635838,0.6666666666666666,0.11701299652468647,0.11701299652468647,0.3052369689831807,0.028536263870769837,0.16578059041249985,19,24,5
series,fintech,PagBank,187,17225,0.010856313497822932,0.4247593582887701,0.3333333333333333,0.11540767515607896,0.11540767515607896,0.2563163350399755,0.03077978313046987,0.16270362767088628,20,22,2
series,tecnologia,Accenture,244,17049,0.01431168983518095,0.29920081967213114,0.3333333333333333,0.1125928502452269,0.1125928502452269,0.2156152809468818,0.039362233334226185,0.13338721881914134,21,20,1
series,saude,Sírio-Libanês,186,17146,0.010848011197947044,0.26099462365591397,0.5,0.11228383313579024,0.11228383313579024,0.2572808782846203,0.030607781081491862,0.14675746263274672,22,23,1
series,tecnologia,Movile,246,17049,0.014428998768256202,0.24680894308943088,0.3333333333333333,0.10588276600085508,0.10588276600085508,0.19819042506367346,0.039289337045031555,0.12035963503331143,23,19,4
series,saude,Raia Drogasil,104,17146,0.006065554648314476,0.3879326923076923,0.5,0.1055680018759336,0.1055680018759336,0.2979994156520023,0.0177050531438951,0.17562250586591177,24,30,6
series,varejo,Renner,84,17204,0.004882585445245292,0.3498214285714286,0.6666666666666666,0.10442432276602466,0.10442432276602466,0.34045689356111347,0.014342529474980586,0.19038490841000433,25,34,9
series,tecnologia,Stefanini,95,17049,0.00557217432107455,0.3965263157894737,0.5,0.1033765984687509,0.1033765984687509,0.3006994967035161,0.016305671898797804,0.17747488354001317,26,31,5
series,tecnologia,iFood,139,17049,0.00815297084873013,0.19841726618705036,0.6666666666666666,0.10254977157638505,0.10254977157638505,0.2910789679008157,0.02322079191718429,0.15449609905600065,27,25,2
series,saude,Pfizer,137,17146,0.007990201796337339,0.24711678832116787,0.5,0.09957339947359657,0.09957339947359657,0.25170233003916836,0.022865861624644983,0.14157331815809437,28,26,2
series,saude,Novartis,122,17146,0.007115362183599674,0.23467213114754099,0.5,0.09416210912607002,0.09416210912607002,0.2472624977770469,0.02043565436207253,0.13793725009704505,29,27,2
series,fintech,Itaú,122,17225,0.007082728592162554,0.2224590163934426,0.5,0.09235779143565594,0.09235779143565594,0.2431805816618684,0.020313679146022355,0.13486439125365818,30,29,1
series,varejo,Walmart,261,17204,0.015170890490583585,0.3105172413793103,0.16666666666666666,0.09225328664981787,0.09225328664981787,0.1641182661788535,0.039927522546920786,0.11173184463917772,31,17,14
series,saude,Hapvida,51,17146,0.0029744546833080604,0.45656862745098037,0.5,0.08789438716381612,0.08789438716381612,0.3198476940447628,0.008813514934465996,0.19092682967272992,32,40,8
series,saude,Fleury,93,17146,0.005424005598973522,0.36575268817204304,0.3333333333333333,0.08712219333060042,0.08712219333060042,0.23483667570144995,0.01578119442938022,0.14469257540239486,33,32,1
series,saude,Dasa,67,17146,0.003907616936894903,0.48089552238805966,0.3333333333333333,0.08556191326123012,0.08556191326123012,0.2727121575527626,0.01149469762073877,0.17256845075915186,34,38,4
